email,first_name,last_name,phone,region,registration_date,opt_out,source,email_raw,email_valid,source_priority,sources,source_count
customer408@gmail.com,Pat,Martínez,5551234567,EU,2021-06-01,False,crm,customer408@gmail.com,True,1,"crm,website",2
customer546@gmail.com,Jane,Jones,+442079460958,EU,2021-12-01,True,crm,customer546@gmail.com,True,1,"crm,website,erp",3
customer37@yahoo.com,Maria,López,+442079460958,US,2022-09-01,False,crm,customer37@yahoo.com,True,1,"crm,website",2
customer583@yahoo.com,Alex,Wang,+15551234567,US,2021-02-01,False,crm,customer583@yahoo.com,True,1,"crm,website,erp",3
customer556@yahoo.com,François,Johnson,+15551234567,US,2020-07-01,False,crm,customer556@yahoo.com,True,1,"crm,website,erp",3
customer440@company.com,André,González,5551234567,US,2023-09-01,False,crm,customer440@company.com,True,1,"crm,website",2
customer586@yahoo.com,Pat,López,02079460958,US,2021-06-01,False,crm,customer586@yahoo.com,True,1,"crm,website",2
customer116@company.com,Léa,Garcia,+442079460958,APAC,2021-04-01,False,crm,customer116@company.com,True,1,"crm,website",2
customer335@company.com,Mike,Jones,+442079460958,EU,2022-03-01,False,crm,customer335@company.com,True,1,"crm,erp",2
customer692@company.com,Chris,Brown,+15551234567,US,2020-08-01,False,crm,customer692@company.com,True,1,"crm,website",2
customer441@gmail.com,Müller,Díaz,+81312345678,APAC,2020-04-01,True,crm,customer441@gmail.com,True,1,crm,1
customer347@company.com,Müller,Garcia,02079460958,EU,2021-11-01,False,crm,customer347@company.com,True,1,"crm,erp",2
customer261@gmail.com,Mike,López,+15551234567,EU,2020-02-01,False,crm,customer261@gmail.com,True,1,"crm,website",2
customer478@yahoo.com,François,Jones,+81312345678,EU,2023-04-01,False,crm,customer478@yahoo.com,True,1,"crm,website",2
customer482@company.com,Léa,Kim,+442079460958,EU,2020-05-01,False,crm,customer482@company.com,True,1,"crm,website",2
customer730@yahoo.com,Alex,Williams,02079460958,EU,2020-08-01,True,crm,customer730@yahoo.com,True,1,"crm,website,erp",3
customer0@gmail.com,Müller,Kim,02079460958,EU,2020-10-01,True,crm,customer0@gmail.com,True,1,"crm,website",2
customer463@yahoo.com,Mike,Kim,5551234567,US,2021-11-01,False,crm,customer463@yahoo.com,True,1,"crm,erp",2
customer704@company.com,André,López,,EU,2023-09-01,False,crm,customer704@company.com,True,1,crm,1
customer532@yahoo.com,Alex,López,+442079460958,US,2022-03-01,True,crm,customer532@yahoo.com,True,1,"crm,website",2
customer448@yahoo.com,Alex,Garcia,,APAC,2021-03-01,False,crm,customer448@yahoo.com,True,1,crm,1
customer81@gmail.com,Maria,Williams,+442079460958,EU,2021-10-01,True,crm,customer81@gmail.com,True,1,"crm,website,erp",3
customer465@gmail.com,André,González,5551234567,US,2020-09-01,True,crm,customer465@gmail.com,True,1,"crm,website,erp",3
customer161@company.com,Pat,Kim,5551234567,APAC,2020-08-01,False,crm,customer161@company.com,True,1,"crm,website",2
customer20@company.com,Jane,Wang,+81312345678,APAC,2022-04-01,False,crm,customer20@company.com,True,1,crm,1
customer127@yahoo.com,John,Díaz,5551234567,US,2021-06-01,True,crm,customer127@yahoo.com,True,1,"crm,website,erp",3
customer641@company.com,Mike,Johnson,5551234567,APAC,2023-01-01,False,crm,customer641@company.com,True,1,crm,1
customer248@company.com,Jane,Díaz,+81312345678,EU,2023-04-01,False,crm,customer248@company.com,True,1,crm,1
customer211@yahoo.com,François,González,5551234567,US,2021-10-01,True,crm,customer211@yahoo.com,True,1,"crm,website",2
customer778@yahoo.com,Pat,Johnson,5551234567,EU,2022-03-01,False,crm,customer778@yahoo.com,True,1,"crm,website,erp",3
customer674@company.com,Maria,Garcia,+442079460958,EU,2023-09-01,False,crm,customer674@company.com,True,1,"crm,website",2
customer677@company.com,John,Martínez,+442079460958,EU,2023-09-01,False,crm,customer677@company.com,True,1,"crm,website",2
customer188@company.com,Sam,Smith,5551234567,US,2023-09-01,False,crm,customer188@company.com,True,1,"crm,website",2
customer222@gmail.com,Pat,Díaz,+15551234567,US,2021-09-01,False,crm,customer222@gmail.com,True,1,"crm,website",2
customer402@gmail.com,Sam,Kim,+15551234567,US,2021-08-01,False,crm,customer402@gmail.com,True,1,"crm,website,erp",3
customer85@yahoo.com,Chris,Kim,5551234567,US,2022-06-01,False,crm,customer85@yahoo.com,True,1,"crm,website,erp",3
customer172@yahoo.com,O'Brien,Martínez,+442079460958,EU,2023-07-01,False,crm,customer172@yahoo.com,True,1,"crm,website",2
customer100@yahoo.com,Mike,Johnson,5551234567,APAC,2023-01-01,True,crm,customer100@yahoo.com,True,1,"crm,website",2
customer243@gmail.com,José,González,02079460958,APAC,2021-11-01,False,crm,customer243@gmail.com,True,1,crm,1
customer705@gmail.com,Sam,Johnson,+81312345678,US,2020-02-01,False,crm,customer705@gmail.com,True,1,crm,1
customer456@gmail.com,Sam,Johnson,5551234567,EU,2023-11-01,False,crm,customer456@gmail.com,True,1,"crm,website",2
customer645@gmail.com,Alex,Díaz,5551234567,EU,2023-10-01,False,crm,customer645@gmail.com,True,1,"crm,website,erp",3
customer618@gmail.com,John,Johnson,+15551234567,EU,2022-10-01,False,crm,customer618@gmail.com,True,1,"crm,website,erp",3
customer234@gmail.com,José,González,+15551234567,EU,2021-07-01,True,crm,customer234@gmail.com,True,1,"crm,website,erp",3
customer675@gmail.com,Sam,González,5551234567,EU,2020-07-01,False,crm,customer675@gmail.com,True,1,"crm,website",2
customer717@gmail.com,Chris,Brown,5551234567,EU,2022-03-01,True,crm,customer717@gmail.com,True,1,"crm,website,erp",3
customer174@gmail.com,Maria,Wang,+15551234567,APAC,2020-06-01,False,crm,customer174@gmail.com,True,1,"crm,website",2
customer464@company.com,François,Smith,+15551234567,APAC,2020-09-01,False,crm,customer464@company.com,True,1,"crm,website",2
customer177@gmail.com,O'Brien,Williams,02079460958,US,2021-11-01,False,crm,customer177@gmail.com,True,1,"crm,website,erp",3
customer726@gmail.com,Maria,Kim,5551234567,EU,2020-09-01,False,crm,customer726@gmail.com,True,1,"crm,website",2
customer783@gmail.com,Chris,González,02079460958,US,2022-05-01,False,crm,customer783@gmail.com,True,1,"crm,website",2
customer154@yahoo.com,Alex,González,5551234567,US,2020-07-01,True,crm,customer154@yahoo.com,True,1,"crm,website,erp",3
customer765@gmail.com,Maria,Kim,+81312345678,US,2022-08-01,False,crm,customer765@gmail.com,True,1,crm,1
